ar,flokkur,framlog_rikis,framlog_althingi,framlog_svf,framlog_fyrirtaekja,framlog_einstaklinga,tekjur_sala_eigna,adrar_tekjur,leigutekjur,auglysingar_og_thjonusta,tekjur,gjold,afkoma,eignir,fasteignir,veltufjarmunir,skuldir,skammtimaskuldir,veltufe_fra_rekstri,handbaert_fe,cpi,merki,litur,atkvaedi,hlutf,thingmenn
2021,Flokkur fólksins,60638831,6909147,1088378,0,393000,0,0,0,0,69029356,129037386,-60122800,34216378,0,30423306,970225,970225,-63027424,27175180,0.8054804751404794,xF,#FBB829,17672,0.08847944725379261,6
2020,Flokkur fólksins,56138831,4874872,1099386,0,87000,0,0,0,0,62200089,33388194,29364832,94531445,0,94531445,1162491,1162491,29364832,94531445,0.7712052777580197,xF,#FBB829,NA,NA,NA
2019,Flokkur fólksins,57241952,4989046,1076645,0,295000,0,0,0,0,63602643,22136291,42874187,65565214,0,65565214,1561092,1561092,42874187,65565214,0.749879970125898,xF,#FBB829,NA,NA,NA
2018,Flokkur fólksins,45241953,5816352,601732,0,630000,0,48550,0,0,52338587,25721582,26943039,22050150,0,22050150,920215,0,0,0,0.7279145031652322,xF,#FBB829,NA,NA,NA
2017,Flokkur fólksins,13342607,0,0,100000,1084487,0,0,0,0,14527094,18494761,-4060918,0,0,0,5813104,0,0,0,0.7089097730990824,xF,#FBB829,13502,0.0687968449854529,4
2016,Flokkur fólksins,3000000,0,0,0,1164,0,0,0,0,3001164,5909098,-1752186,814228,0,814228,2566414,0,0,0,0.6966400526353226,xF,#FBB829,NA,NA,NA
2017,Björt framtíð,27406955,0,7325448,0,3563835,0,0,0,0,38296238,35896938,2252624,11728041,0,11728041,7105852,0,0,0,0.7089097730990824,xA,#cab2d6,2394,0.012198166708278347,0
2016,Björt framtíð,34322256,0,7166739,0,1536594,0,0,0,0,43025589,53219350,-10319211,10265339,0,10265339,7895774,0,0,0,0.6966400526353226,xA,#cab2d6,13578,0.07159579853201721,4
2015,Björt framtíð,31333179,0,7311985,0,2026851,0,83500,0,0,40755515,22876381,17709151,14386170,0,14386170,1948294,0,0,0,0.6850104915001066,xA,#cab2d6,NA,NA,NA
2014,Björt framtíð,28445736,0,3619512,777534,1930894,0,521000,0,0,35294676,24738251,10033449,613218,0,613218,5884493,0,0,0,0.6739944163880789,xA,#cab2d6,NA,NA,NA
2013,Björt framtíð,6165260,0,0,2395000,2940931,0,0,0,0,11501191,20848824,-10874457,0,0,0,15304724,0,0,0,0.6604843872252649,xA,#cab2d6,15584,0.08244499346640356,6
2012,Björt framtíð,0,0,0,0,0,0,288500,0,0,288500,4607304,-4430264,94105,0,94105,4524369,0,0,0,0.6358782630343552,xA,#cab2d6,NA,NA,NA
2011,Borgarahreyfingin,22604985,0,0,0,0,0,0,0,0,22604985,12012667,10833821,15349270,0,15349270,49567,0,0,0,0.6045237925883775,xO,#d78604,NA,NA,NA
2010,Borgarahreyfingin,24856567,0,0,0,0,0,0,0,0,24856567,13980836,11203950,4656978,0,4656978,191096,0,0,0,0.5812379970125898,xO,#d78604,NA,NA,NA
2009,Borgarahreyfingin,0,0,0,850000,831979,0,0,0,0,1681979,8140065,-6738068,18702,0,18702,6756770,0,0,0,0.5515239348460061,xO,#d78604,13519,0.0722234390943622,4
