year,decile,Total,Percent,Value per person
2006,8,317096484218.85187,0.18242501196433658,17999459.85235011
2006,9,383634092837.8277,0.22070397326627772,21776357.656685457
2006,10,389995737369.20294,0.2243638154200243,22137465.934563372
2007,1,9178445631.275368,0.004653483151281709,504282.4916914108
2007,2,18780230190.94414,0.009521599656586634,1031824.0860911016
2007,3,45043261981.058174,0.022836988868070097,2474768.5281609898
2007,4,77921822646.7686,0.03950645930377581,4281183.5968775675
2007,5,126376967558.82443,0.06407327698724383,6943026.456368774
2007,6,182216516373.18033,0.09238399647305191,10011346.430041224
2007,7,265236712708.9246,0.13447533746744245,14572645.058454184
2007,8,356774030620.2378,0.18088486950872165,19601891.688381836
2007,9,435975023326.314,0.22103986959573518,23953355.49290226
2007,10,454878822717.97845,0.23062411898809076,24991968.722486593
2008,1,10460953061.943066,0.004751796799109972,556404.0775460383
2008,2,18848399411.355774,0.008561721237146117,1002521.111183223
2008,3,48663435696.035675,0.022104941739521093,2588342.94431337
2008,4,82251807408.61118,0.03736216698908037,4374863.433254145
2008,5,131215810189.32315,0.059603638708463295,6978821.943906135
2008,6,211434728059.00885,0.09604238333374845,11245929.900484487
2008,7,295286852107.65326,0.13413148021560667,15705912.031682
2008,8,394959365275.4078,0.17940685103748946,21007359.46361405
2008,9,502387727743.0188,0.2282052488397258,26721330.128345236
2008,10,505964069878.9306,0.22982977110010874,26911550.97489126
2009,1,12244255549.644531,0.005651443281368731,662675.5181925924
2009,2,23449571601.296124,0.010823354947125989,1269122.2385287723
2009,3,48164727442.73025,0.022230851373653042,2606739.592072861
2009,4,84737936193.19371,0.03911153587365136,4586130.65937077
2009,5,135160045267.68872,0.062384301490648705,7315042.770346307
2009,6,208596568038.56134,0.09627957111629602,11289525.790905522
2009,7,282357646080.1857,0.13032464206689004,15281574.17763629
2009,8,380621740484.5964,0.17567929461150406,20599758.645050406
2009,9,477542284857.57117,0.22041381988357336,25845228.38434655
2009,10,513696654124.5506,0.23710118535528854,27803456.05783452
2010,1,16315175622.963608,0.007859651798279712,877584.6174473459
2010,2,22020239670.812107,0.01060800204219994,1184456.9776134747
2010,3,36112573692.50302,0.017396824975840046,1942476.1278308332
2010,4,74425622933.01515,0.035853704222480444,4003314.66478485
2010,5,121074328178.29991,0.05832619171151937,6512523.703851321
2010,6,182023543787.19043,0.08768778873839453,9790949.587821549
2010,7,254276218622.367,0.12249469972864599,13677382.530383896
2010,8,356299830817.00397,0.17164342393385396,19165178.356032703
2010,9,463398816636.8378,0.22323715212566161,24925975.828994557
2010,10,549867699019.4728,0.2648925607231244,29577091.012827326
2011,1,15069712907.400867,0.007694932663004183,813128.6304106656
2011,2,24976684433.462757,0.012753654037178942,1347687.0681197192
2011,3,43563215084.12753,0.022244352544480258,2350575.4645296247
2011,4,72690273796.91727,0.037117280571942135,3922207.618675728
2011,5,119173142369.69054,0.060852473528080174,6429974.229507421
2011,6,175801186492.5285,0.08976802016393332,9485846.138915908
2011,7,240339589245.79358,0.12272277294627232,12968196.689461695
2011,8,331513833627.48553,0.16927838256063035,17887758.788511604
2011,9,426491071420.16705,0.21777588571969161,23012522.064434633
2011,10,508775673961.6425,0.2597922452647868,27452418.60258148
2012,1,17964130343.89703,0.00933254683838836,956098.2672785688
2012,2,25674725728.30806,0.013338278883264323,1366403.7109264534
2012,3,43794546250.270905,0.022751708338916137,2330860.9425872
2012,4,76308631417.04594,0.039643103408834666,4061129.9317214447
2012,5,113416363150.79314,0.05892094418609211,6035995.9101007525
2012,6,173643300013.28326,0.09020944512890565,9241753.154147813
2012,7,233593454336.98972,0.12135415475213972,12431796.398988277
2012,8,323211237036.571,0.16791149644279885,17202152.165446322
2012,9,425675818368.6738,0.22114287955189396,22654380.966933146
2012,10,491608249837.45465,0.2553954424687662,26164684.1150383
2013,1,19276761489.378887,0.010252833984134358,1006094.0234540129
2013,2,23051264033.599873,0.0122603987911126,1203030.3237618012
2013,3,41554350914.03495,0.02210173433306249,2168694.2703426206
2013,4,69073547963.27707,0.03673851649577268,3604903.0824736217
2013,5,103166708128.04567,0.05487182749598768,5384202.710090583
2013,6,165345316425.70605,0.08794309564399505,8629713.800924115
2013,7,228250664082.06125,0.12140089853221483,11912252.18318779
2013,8,319492790566.1901,0.16993033516588377,16674118.812493613
2013,9,425316639474.46356,0.22621543030577312,22196995.953993194
2013,10,485611781600.84,0.2582849292520633,25345082.547016703
2014,1,19529835381.337765,0.01051770302890351,994694.6817427811
2014,2,20660408545.55408,0.011126568007101828,1052277.0981742935
2014,3,42041891313.95479,0.022641467220771087,2141279.989505694
2014,4,63319515655.19651,0.03410043395612816,3224993.1575428597
2014,5,99196667471.3576,0.053421909071369046,5052032.975368353
2014,6,161352968742.37354,0.08689589927040077,8218038.542445428
2014,7,225555281028.4214,0.12147175929218249,11487994.347989272
2014,8,314002601288.82465,0.16910465685824075,15992798.272834096
2014,9,421134052595.12823,0.22679980727266044,21449223.418311514
2014,10,490060439625.09314,0.26391979602224197,24959786.06626735
2015,1,15881508582.702204,0.008957890749798265,786797.5517811347
2015,2,18074175729.61081,0.010194654414307594,895426.0951008576
2015,3,40244639085.204,0.022699800734482817,1993789.4022890266
2015,4,60038496505.26643,0.033864433575416235,2974411.518715206
2015,5,90090590970.1536,0.050815177115755145,4463023.430603071
2015,6,150295508284.1734,0.08477347957116743,7445900.831517137
2015,7,212284339881.49707,0.11973799054723912,10516935.342159875
2015,8,308728118217.3938,0.17413665332740477,15294927.828456467
2015,9,410806846744.4139,0.23171368344778748,20352085.545920927
2015,10,466462928619.17456,0.2631062365166411,23109384.62319418
2016,1,13259358208.098019,0.007317009413015357,635635.5804457343
2016,2,15230246897.035831,0.008404619451347076,730082.3017609813
2016,3,38870862933.53754,0.021450394922057255,1863416.248012346
2016,4,60266417127.72407,0.033257261361484984,2888951.494545998
2016,5,88679942771.44954,0.0489369067356569,4251195.722504771
2016,6,148538688822.9476,0.08196919996102665,7120401.170746733
2016,7,217475293628.15482,0.12001099492158197,10425469.493200134
2016,8,316606831843.2724,0.1747154826398268,15176972.908454647
2016,9,426402413809.3871,0.23530478825666332,20441151.18932824
2016,10,486798022475.35175,0.2686333423373397,23336434.44273019
2017,1,9809428877.810177,0.0052080641863579274,455510.97644811595
2017,2,16815962273.853195,0.008928003043654422,780830.3433252784
2017,3,38107811494.68535,0.020232363243379264,1769493.475793339
2017,4,62896579638.16511,0.03339332268353858,2920532.1154422876
2017,5,89170727219.13898,0.04734290616572189,4140542.6829094994
2017,6,154133860395.6981,0.08183341234552367,7157032.893559532
2017,7,223144053027.31003,0.11847260074428735,10361443.769841662
2017,8,323983402000.43896,0.17201066177764698,15043805.813541928
2017,9,447148582271.97186,0.23740204922422015,20762842.78751727
2017,10,518297269896.2154,0.27517661658566983,24067669.834976334
2018,1,9181023280.811043,0.004537775641182335,413336.1822803459
2018,2,15665301282.52107,0.007742668806883459,705231.2286733476
2018,3,38580080322.46244,0.019068435333132346,1736824.3966354134
2018,4,68297856113.35044,0.03375662367221005,3074679.5171003663
2018,5,93734909392.94003,0.046329039319693524,4219822.1488740845
2018,6,163108441284.964,0.0806173221759595,7342927.172600009
2018,7,240024067717.11252,0.11863333034572107,10805567.35772352
2018,8,344894900305.3622,0.17046636627583267,15526714.100092838
2018,9,492002836106.0218,0.2431753429643089,22149319.59240183
2018,10,557753689800.9039,0.2756730954650762,25110466.855794344
2019,1,7921267718.355949,0.003680794555894167,349000.6484714257
2019,2,17028058500.957424,0.007912468970406164,750200.8327146631
2019,3,41530646557.70358,0.019298145598352193,1829785.7231221565
2019,4,72890332023.16798,0.033870126200440956,3211310.7773005543
2019,5,103363208897.2676,0.048030031317736845,4553846.545830804
2019,6,175461414148.59998,0.08153207806258839,7730599.380913776
2019,7,257850599700.02545,0.11981605941818661,11360058.141687613
2019,8,367510816369.35986,0.17077213650914436,16192043.722490191
2019,9,517437477273.6703,0.2404389192592308,22796611.035054643
2019,10,591059926464.747,0.27464924010801955,26041323.807760805
2020,1,8626756314.921776,0.0036787128430926406,380318.13758858066
2020,2,18950855785.748047,0.008081224740988869,835465.1406669333
2020,3,47385567829.92656,0.02020665596542574,2088942.3307144488
2020,4,81970393387.05772,0.03495468376506002,3613736.868450281
2020,5,121879352632.61046,0.05197308507044185,5372921.55848221
2020,6,204173913925.6851,0.08706600394910073,9001186.524079049
2020,7,279540358731.3665,0.11920456197992496,12323782.512514506
2020,8,394948023288.25555,0.16841792124247934,17410863.30842248
2020,9,554373799467.3676,0.23640195011039458,24440056.406443924
2020,10,633198467494.4373,0.27001520033309134,27915111.206385277
2021,1,9069121133.849924,0.0036178070393957148,393625.0492122363
2021,2,20164362143.18829,0.008043863372192362,875189.3291314362
2021,3,51852281078.217094,0.02068464460060252,2250533.032908728
2021,4,93694387796.10127,0.037376082061075316,4066596.6925391178
2021,5,132551940481.70958,0.052876936616317816,5752872.726084353
