year,decile,Total,Percent,Value per person
2006,6,120741416615.89764,0.07268495803464042,6853687.722989025
2006,7,151862023877.47028,0.09141920926523352,8619708.473008871
2006,8,197626915659.30246,0.11896915303642788,11217966.490282254
2006,9,258562622631.22452,0.15565175481635543,14676881.570711501
2006,10,652926881585.2759,0.39305454845446774,37062319.44061281
2007,1,14201304808.69981,0.00726078090248488,780248.6022031652
2007,2,41288131270.2821,0.021109614860382646,2268454.0008945717
2007,3,63445919614.24604,0.03243835180507505,3485848.009133896
2007,4,80894348419.64984,0.0413593080379863,4444500.215353543
2007,5,104232909126.05162,0.05329174510283376,5726453.638394222
2007,6,131507377707.24611,0.06723651590153135,7225283.100227796
2007,7,165568999053.9262,0.08465139242964728,9096697.931648053
2007,8,215678598264.5141,0.11027120876909521,11849821.343031377
2007,9,283797264320.81055,0.14509862190238074,15592399.556112882
2007,10,855277357829.5237,0.43728246028858264,46990679.51373681
2008,1,13042174444.534727,0.007426784533044681,693695.7845079903
2008,2,40275989346.62296,0.02293490981926847,2142225.9106761855
2008,3,62930217924.75826,0.03583521836273054,3347173.976105434
2008,4,82231498821.80873,0.04682621185417506,4373783.246732022
2008,5,105206603071.42276,0.059909241038593374,5595500.642028654
2008,6,133616285149.37297,0.07608695652173912,7106871.185009998
2008,7,169865081733.0697,0.09672860665103133,9034896.108349008
2008,8,220289271904.87796,0.12544234585547953,11716891.224130522
2008,9,287790952718.8682,0.16388075512196026,15307215.186366057
2008,10,640851672562.1371,0.3649289702419776,34086041.836186215
2009,1,9974181812.319647,0.006645044000314073,539816.085529017
2009,2,35329382405.5714,0.023537299099458227,1912073.518729848
2009,3,58327477680.51458,0.038859192955117874,3156761.253478085
2009,4,75304075446.14789,0.05016941781876824,4075557.473948579
2009,5,95243373281.10138,0.0634534659684599,5154698.992320256
2009,6,122587608131.41815,0.08167086436306752,6634605.624907623
2009,7,154709514146.1527,0.10307126420119951,8373086.223204671
2009,8,199184465186.76144,0.13270156492537766,10780130.171930587
2009,9,257778477084.0386,0.171738329498028,13951316.614387542
2009,10,492557045735.1969,0.32815355717020905,26659290.19999983
2010,1,7886614473.865356,0.006027439048443043,424216.7970450948
