land,time,name,value,value_trend
Belgía,2014-01-01,foreign_country,15.9,16.55
Belgía,2014-01-01,reporting_country,7.1,6.75
Belgía,2014-01-01,p,1.23943661971831,1.4569763351349931
Belgía,2014-04-01,foreign_country,17,16.7
Belgía,2014-04-01,reporting_country,6.2,6.725
Belgía,2014-04-01,p,1.7419354838709675,1.4916665553090842
Belgía,2014-07-01,foreign_country,18.5,17.125
Belgía,2014-07-01,reporting_country,6.6,6.675
Belgía,2014-07-01,p,1.8030303030303032,1.5747770722431307
Belgía,2014-10-01,foreign_country,18.3,17.425
Belgía,2014-10-01,reporting_country,6.4,6.575
Belgía,2014-10-01,p,1.859375,1.6609443516548952
Belgía,2015-01-01,foreign_country,18.2,18
Belgía,2015-01-01,reporting_country,6.6,6.45
Belgía,2015-01-01,p,1.7575757575757578,1.7904791361192571
Belgía,2015-04-01,foreign_country,18,18.25
Belgía,2015-04-01,reporting_country,6.3,6.475
Belgía,2015-04-01,p,1.8571428571428572,1.8192809794372296
Belgía,2015-07-01,foreign_country,14.8,17.325
Belgía,2015-07-01,reporting_country,6.7,6.5
Belgía,2015-07-01,p,1.2089552238805972,1.6707622096498032
Belgía,2015-10-01,foreign_country,16.6,16.9
Belgía,2015-10-01,reporting_country,6.8,6.6
Belgía,2015-10-01,p,1.4411764705882355,1.566212577296862
Belgía,2016-01-01,foreign_country,17.5,16.725
Belgía,2016-01-01,reporting_country,6.2,6.5
Belgía,2016-01-01,p,1.82258064516129,1.582463799193245
Belgía,2016-04-01,foreign_country,14.4,15.825000000000001
Belgía,2016-04-01,reporting_country,6.5,6.55
Belgía,2016-04-01,p,1.2153846153846155,1.4220242387536846
Belgía,2016-07-01,foreign_country,15.7,16.05
Belgía,2016-07-01,reporting_country,6.1,6.4
Belgía,2016-07-01,p,1.5737704918032787,1.513228055734355
Belgía,2016-10-01,foreign_country,14.8,15.6
Belgía,2016-10-01,reporting_country,5.5,6.075
Belgía,2016-10-01,p,1.690909090909091,1.5756612108145687
Belgía,2017-01-01,foreign_country,15,14.975
Belgía,2017-01-01,reporting_country,6,6.025
Belgía,2017-01-01,p,1.5,1.4950160495242462
Belgía,2017-04-01,foreign_country,13.6,14.775
Belgía,2017-04-01,reporting_country,5.4,5.75
Belgía,2017-04-01,p,1.5185185185185182,1.5707995253077218
Belgía,2017-07-01,foreign_country,13.3,14.175
Belgía,2017-07-01,reporting_country,5.7,5.65
Belgía,2017-07-01,p,1.3333333333333335,1.5106902356902356
Belgía,2017-10-01,foreign_country,11.1,13.25
Belgía,2017-10-01,reporting_country,5.2,5.575
Belgía,2017-10-01,p,1.1346153846153846,1.371616809116809
Belgía,2018-01-01,foreign_country,12,12.5
Belgía,2018-01-01,reporting_country,4.6,5.225
Belgía,2018-01-01,p,1.608695652173913,1.3987907221602873
Belgía,2018-04-01,foreign_country,11.5,11.975
Belgía,2018-04-01,reporting_country,4.6,5.025
Belgía,2018-04-01,p,1.5,1.3941610925306578
Belgía,2018-07-01,foreign_country,10.2,11.2
Belgía,2018-07-01,reporting_country,4.7,4.775
Belgía,2018-07-01,p,1.1702127659574466,1.353380950686686
Belgía,2018-10-01,foreign_country,12,11.425
Belgía,2018-10-01,reporting_country,4.2,4.525
Belgía,2018-10-01,p,1.8571428571428572,1.5340128188185542
Belgía,2019-01-01,foreign_country,11.1,11.2
Belgía,2019-01-01,reporting_country,4.2,4.425
Belgía,2019-01-01,p,1.6428571428571428,1.5425531914893615
Belgía,2019-04-01,foreign_country,10.5,10.95
Belgía,2019-04-01,reporting_country,4,4.275
Belgía,2019-04-01,p,1.625,1.5738031914893615
Belgía,2019-07-01,foreign_country,10.4,11
Belgía,2019-07-01,reporting_country,4.1,4.125
Belgía,2019-07-01,p,1.536585365853659,1.6653963414634148
Belgía,2019-10-01,foreign_country,8.9,10.225
Belgía,2019-10-01,reporting_country,4.1,4.1
Belgía,2019-10-01,p,1.1707317073170733,1.493793554006969
Belgía,2020-01-01,foreign_country,9,9.7
Belgía,2020-01-01,reporting_country,4.1,4.074999999999999
Belgía,2020-01-01,p,1.1951219512195124,1.3818597560975612
Belgía,2020-04-01,foreign_country,9.6,9.475
Belgía,2020-04-01,reporting_country,3.7,4
Belgía,2020-04-01,p,1.5945945945945943,1.3742584047462096
Belgía,2020-07-01,foreign_country,12.5,10
Belgía,2020-07-01,reporting_country,4.7,4.15
Belgía,2020-07-01,p,1.6595744680851063,1.4050056803040716
Belgía,2020-10-01,foreign_country,10.7,10.45
Belgía,2020-10-01,reporting_country,4.5,4.25
Belgía,2020-10-01,p,1.3777777777777778,1.4567671979192478
Belgía,2021-01-01,foreign_country,12.4,11.3
Belgía,2021-01-01,reporting_country,5.1,4.5
Belgía,2021-01-01,p,1.431372549019608,1.5158298473692717
