Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2024-09-01,Tékkland,131886.967866392,2770.2587805007233,NA,NA,NA,NA,NA
2024-10-01,Tékkland,NA,NA,NA,NA,NA,NA,NA
2022-03-01,Danmörk,319.11334618331284,319.11334618331284,119.01358402738308,431.5877222971034,20.925465323495924,9.009575347616302,0.4241917502787068
2022-04-01,Danmörk,2728.157541550781,2409.044195367468,47.08229697786583,423.7406728007925,20.05357093501693,6.975155107831975,0.34782608695652173
2022-05-01,Danmörk,5417.0798356200075,2688.922294069226,39.23524748155486,432.8955638798219,18.600413620885266,6.103260719352978,0.3244766505636071
2022-06-01,Danmörk,6604.599992728401,1187.5201571083937,43.158772229710344,411.970098556326,17.147256306753604,5.231366330873981,0.30112721417069244
2022-07-01,Danmörk,6913.250606249965,308.6506135215649,43.158772229710344,417.20146488719996,15.694098992621942,4.359471942394984,0.2777777777777778
2022-08-01,Danmörk,7308.218764230952,394.96815798098555,54.9293464741768,440.7426133761329,20.344202397843258,9.590838273268965,0.4106753812636166
2022-09-01,Danmörk,7789.504466671358,481.2857024404062,57.545029639613794,443.35829654156987,24.994305803064574,14.822204604142945,0.5435729847494554
2022-10-01,Danmörk,7806.5064072466985,211.87033640039624,69.31560388408025,470.8229697786583,29.64440920828589,20.05357093501693,0.6764705882352942
2022-11-01,Danmörk,8026.223793143406,221.0252274794257,61.46855438776928,474.7464945268138,31.96946091089655,21.942675443388087,0.6851073762838469
2022-12-01,Danmörk,8412.037060045363,387.12110848467455,53.6215048914583,451.2053460378808,34.29451261350721,23.831779951759245,0.6937441643323996
2023-01-01,Danmörk,8612.136822201292,200.09976215592977,56.23718805689529,468.20728661322124,36.61956431611787,25.720884460130407,0.7023809523809523
2023-02-01,Danmörk,8860.626722917805,249.79774229923257,65.39207913592476,451.2053460378808,37.491458704596866,26.73809458002257,0.7126984126984126
2023-03-01,Danmörk,9113.040148382473,264.18399970913606,49.697980143302814,419.81714805263704,38.36335309307586,27.755304699914728,0.723015873015873
2023-04-01,Danmörk,9136.581296871407,145.17041568175298,49.697980143302814,425.04851438351096,39.23524748155486,28.772514819806897,0.7333333333333333
