year,country,dwellings,population,new_dwellings,new_by_pop,rolling
2008,Taiwan,7858243,22959278.6,108143,4.710208969719109,55.320020776590816
2009,Taiwan,7966386,23041572.3,108143,4.693386310273626,51.39807527273046
2010,Taiwan,8074529,23123866,108143,4.676683388495678,47.53311001510918
2011,Taiwan,8166312.5,23194840.5,91783.5,3.9570653654634964,46.658744203327586
2012,Taiwan,8258096,23265815,91783.5,3.944993975065993,45.79000507408799
2013,Taiwan,8349879.5,23336789.5,91783.5,3.932996010440939,44.926836866346164
2014,Taiwan,8441663,23407764,91783.5,3.921070803687187,44.06918456050877
2015,Taiwan,8533446.5,23478738.5,91783.5,3.9092176949796515,43.216993866083484
2016,Taiwan,8625230,23549713,91783.5,3.8974360324476143,42.37021120957601
2017,Taiwan,8717013.5,23620687.5,91783.5,3.8857251720552166,41.52878372262851
2018,Taiwan,8808797,23691662,91783.5,3.8740844774841037,40.6926592303935
2019,Taiwan,8900580.5,23762636.5,91783.5,3.8625133200181723,39.86178624013805
2020,Taiwan,8992364,23833611,91783.5,3.851011078430373,39.03611393007275
1975,USA,78821000,215981000,1359000,6.292220148994588,70.36386749456794
1976,USA,80189000,218086000,1368000,6.272754784809662,71.55521291310414
1977,USA,81645000,220289000,1456000,6.609499339504015,74.12953273240205
1978,USA,83496000,222629000,1851000,8.31428070916188,76.68028259397123
1979,USA,85735000,225106000,2239000,9.946425239664869,80.174967639492
1980,USA,87739000,227726000,2004000,8.800049181911596,82.64118126708325
1981,USA,90862000,230008000,3123000,13.577788598657438,88.79451442210299
1982,USA,91876000,232218000,1014000,4.366586569516575,83.66718890915162
1983,USA,93044000,234333000,1168000,4.984359863954287,78.77134739440733
1984,USA,95256000,236394000,2212000,9.357259490511604,78.5212239266865
1985,USA,97333000,238506000,2077000,8.708376309191383,80.93738008688331
1986,USA,99318000,240683000,1985000,8.24736271361085,82.9119880156845
1987,USA,101811000,242843000,2493000,10.265891954884431,86.56838063106491
1988,USA,103653000,245061000,1842000,7.516495892859329,85.77059581476237
1989,USA,105729000,247387000,2076000,8.391710154535202,84.21588072963269
1990,USA,106283000,250181000,554000,2.2143967767336448,77.63022832445475
1991,USA,107276000,253530000,993000,3.9166962489646195,67.96913597476194
1992,USA,108316000,256922000,1040000,4.047921158950966,67.65047056419633
1993,USA,109611000,260282000,1295000,4.975372864815854,67.64148356505788
1994,USA,110952000,263455000,1341000,5.090053329790667,63.37427740433695
1995,USA,112655000,266588000,1703000,6.388134499677404,61.05403559482296
1996,USA,114139000,269714000,1484000,5.502124472589483,58.308797353801594
1997,USA,115621000,272958000,1482000,5.429406721913261,53.47231212083043
1998,USA,117282000,276154000,1661000,6.014759880356613,51.97057610832772
1999,USA,119044000,279328000,1762000,6.307996334058885,49.8868622878514
2000,USA,116334360,282398000,-2709640,-9.59511044695784,38.07735506415992
2001,USA,118073715,285225000,1739355,6.0981856429134895,40.25884445810878
2002,USA,119762541,287955000,1688826,5.864895556597385,42.075818855755195
2003,USA,121525460,290626000,1762919,6.065936977421153,43.1663829683605
2004,USA,123418565,293262000,1893105,6.455336866010598,44.53166650458043
2005,USA,125458161,295993000,2039596,6.890689982533371,45.0342219874364
2006,USA,127394236,298818000,1936075,6.479111030794664,46.01120854564158
2007,USA,129186575,301696000,1792339,5.940877572125584,46.522679395853906
2008,USA,130522504,304543000,1335929,4.386667892547194,44.89458740804449
2009,USA,131340117,307240000,817613,2.6611541465954955,41.247745220581095
2010,USA,131825383,309839000,485266,1.5661876006571156,52.40904326819605
2011,USA,132312816,312295000,487433,1.560809491026113,47.87166711630867
2012,USA,132834047,314725000,521231,1.6561474302962904,43.662918990007576
2013,USA,133538615,317099000,704568,2.221918076058266,39.818900088644696
2014,USA,134388318,319601000,849703,2.6586368628383514,36.02220008547245
2015,USA,135285123,322113000,896805,2.784131655661212,31.915641758600287
2016,USA,136286436,324609000,1001313,3.0846741772409265,28.521204905046552
2017,USA,137366902,326860000,1080466,3.30559260845622,25.885919941377185
2018,USA,138516439,328794000,1149537,3.496222558805818,24.99547460763581
2019,USA,139684244,330513000,1167805,3.533310338776387,25.867630799816702
