year,country,dwellings,population,new_dwellings,new_by_pop,rolling
1993,Japan,45878800,124606600,774300,6.21395656409853,59.29729090338089
1994,Japan,46752240,124951520,873440,6.990231091226421,60.61890905693388
1995,Japan,47625680,125296440,873440,6.970988162153689,61.95279435675555
1996,Japan,48499120,125641360,873440,6.951850887319271,63.29870408395411
1997,Japan,49372560,125986280,873440,6.932818398955822,64.65640039749128
1998,Japan,50246000,126331200,873440,6.913889838773002,66.02565021800228
1999,Japan,50974980,126556480,728980,5.76011595771311,65.49312649179232
2000,Japan,51703960,126781760,728980,5.749880739942403,64.97022454659165
2001,Japan,52432940,127007040,728980,5.739681831810268,64.45685576511356
2002,Japan,53161920,127232320,728980,5.729519040445069,63.952932512437584
2003,Japan,53890900,127457600,728980,5.71939217433876,63.45836812267782
2004,Japan,54629920,127469900,739020,5.7976039833717605,62.26574101482315
2005,Japan,55368940,127482200,739020,5.797044607011802,61.09179745968126
2006,Japan,56107960,127494500,739020,5.796485338583233,59.936431910945224
2007,Japan,56846980,127506800,739020,5.795926178054818,58.79953969004423
2008,Japan,57586000,127519100,739020,5.795367125395333,57.681016976666555
2009,Japan,58194520,127441100,608520,4.7749117043088924,56.695812723262335
2010,Japan,58803040,127363100,608520,4.777835966618275,55.723767949938214
2011,Japan,59411560,127285100,608520,4.780763812889333,54.76484993101728
2012,Japan,60020080,127207100,608520,4.783695249714835,53.819026140287036
2013,Japan,60628600,127129100,608520,4.7866302837037304,52.886264249652015
2014,Japan,60984360,126964780,355760,2.8020369113387193,49.890697177618975
2015,Japan,61340120,126800460,355760,2.805668055147434,46.8993206257546
2016,Japan,61695880,126636140,355760,2.8093086223253487,43.91214390949672
2017,Japan,62051640,126471820,355760,2.8129586496027335,40.929176381044634
2018,Japan,62407400,126307500,355760,2.8166181739009954,37.9504274295503
1970,Netherlands,3687000,12957621,105400,8.134209203988911,70.40407215251356
1971,Netherlands,3813200,13085915.2,126200,9.643956732961254,74.13938328439669
1972,Netherlands,3939400,13214209.4,126200,9.550325424690183,77.86112033524599
1973,Netherlands,4065600,13342503.6,126200,9.458494731078806,81.56894350306779
1974,Netherlands,4191800,13470797.8,126200,9.368413205638051,85.26254624654561
1975,Netherlands,4318000,13599092,126200,9.280031343269094,88.94165281490186
1976,Netherlands,4407000,13697476.4,89000,6.497547241621822,86.9126159551277
1977,Netherlands,4496000,13795860.8,89000,6.4512103514410635,84.93884249828456
1978,Netherlands,4585000,13894245.2,89000,6.405529679294849,83.01859589491654
1979,Netherlands,4674000,13992629.6,89000,6.360491383263658,81.1502092972477
1980,Netherlands,4763000,14091014,89000,6.3160820080087925,79.33208210126757
1981,Netherlands,4874200,14163577.8,111200,7.851123605223533,77.53924897352985
1982,Netherlands,4985400,14236141.6,111200,7.811105222499333,75.800028771339
1983,Netherlands,5096600,14308705.4,111200,7.771492730572257,74.11302677083246
1984,Netherlands,5207800,14381269.2,111200,7.732279985413249,72.47689355060766
1985,Netherlands,5319000,14453833,111200,7.6934609663748015,70.89032317371337
1986,Netherlands,5424600,14541581.2,105600,7.261933798506039,71.65470973059757
1987,Netherlands,5530200,14629329.4,105600,7.21837598379595,72.42187536295246
1988,Netherlands,5635800,14717077.6,105600,7.175337581966681,73.1916832656243
1989,Netherlands,5741400,14804825.8,105600,7.132809357338064,73.9640012396987
1990,Netherlands,5847000,14892574,105600,7.0907822918993055,74.73870152358921
1991,Netherlands,5928200,14998883.6,81200,5.413736259677354,72.30131417804303
1992,Netherlands,6009400,15105193.2,81200,5.375634652590872,69.86584360813457
1993,Netherlands,6090600,15211502.8,81200,5.338065611768483,67.43241648933079
1994,Netherlands,6171800,15317812.4,81200,5.301018048765241,65.00115455268279
1995,Netherlands,6253000,15424122,81200,5.264481180841282,62.57217476714927
1996,Netherlands,6336200,15512087.6,83200,5.36355918980241,60.673800158445644
1997,Netherlands,6419400,15600053.2,83200,5.333315145361171,58.78873932001086
1998,Netherlands,6502600,15688018.8,83200,5.3034102687332325,56.91681200677741
1999,Netherlands,6585800,15775984.4,83200,5.27383888640255,55.057841535841895
2000,Netherlands,6669000,15863950,83200,5.244595450691662,53.211654694634255
2001,Netherlands,6726400,15952265.2,57400,3.5982350644471484,51.39615349940405
2002,Netherlands,6783800,16040580.4,57400,3.5784241323337653,49.59894297914694
2003,Netherlands,6841200,16128895.6,57400,3.5588301532561224,47.81970752063458
2004,Netherlands,6898600,16217210.8,57400,3.539449582785222,46.05813905465457
2005,Netherlands,6956000,16305526,57400,3.520278953282464,44.31393682709575
2006,Netherlands,7022800,16359418.6,66800,4.0832746953488925,43.03365233264223
