year,new_dwellings,population,dwellings,new_by_pop,rolling,population_adult,new_by_adult,rolling_adult,country
2011,44087,10951266,5129393,4.025744603409323,39.45080292045997,8620033,5.114481580290934,37.07066603732802,Belgía
2012,48247,11035948,5177640,4.371803854095725,40.66646051459241,8687300,5.553739366661679,42.6244054039897,Belgía
2013,49720,11099554,5227360,4.479459264759647,41.46818960110681,8741440,5.687850056741223,48.312255460730924,Belgía
2014,45520,11150516,5272880,4.082322288941606,41.93849964083304,8776986,5.186290601352218,53.49854606208314,Belgía
2015,42029,11209044,5314909,3.749561514791092,41.98065653223869,8823424,4.7633435727445494,53.5107849756977,Belgía
2016,41825,11267910,5356734,3.7118684831525983,41.47899724140305,8882609,4.708639094662391,52.822325440423754,Belgía
2017,48187,11322088,5404921,4.256017088014154,41.40208857189213,8918620,5.402965929706614,52.6782400085616,Belgía
2018,50545,11376070,5455466,4.443098539302237,41.56995021791401,8960822,5.640665555012698,52.85282365913938,Belgía
2019,59473,11431406,5514939,5.202597125847862,42.40737941048136,9011391,6.599758017380447,53.87354257534666,Belgía
2020,61181,11492641,5576120,5.323493529468118,43.64596629178236,9072966,6.743219361783126,55.40095313633588,Belgía
2021,55517,11521238,5631637,4.818666188477315,44.43888787685035,9105466,6.097106946530798,56.383578502575745,Belgía
2020,30734,5822763,3113345,5.278250205271965,30.786953032842597,4596852,6.685879815143059,6.685879815143059,Danmörk
2021,34906.33333333349,5840045,3148251.3333333335,5.977065815988317,34.36662776278811,4618175,7.558469164406608,14.244348979549667,Danmörk
2007,32000,5300484,2732000,6.037184528809067,60.4579568394691,4111734,7.782604614014428,78.62563094807909,Finnland
2008,36000,5326314,2768000,6.758895551407597,60.87630112049884,4138779,8.69821751777517,78.98639079027069,Finnland
2009,16000,5351427,2784000,2.9898567241971157,58.2126493085478,4166895,3.839789579531042,75.41096482229929,Finnland
2010,23505,5375276,2807505,4.37279871768445,56.00559021570305,4195425,5.602531328768838,72.40570548316457,Finnland
2011,28495,5401267,2836000,5.275614036484403,55.203321343543,4222063,6.749070300466857,71.2171465338171,Finnland
2012,30000,5426674,2866000,5.528248057650045,54.89555741954391,4252415,7.054814734686055,70.67877644177767,Finnland
2013,39731,5451270,2905731,7.288393346871462,56.53231960987324,4280460,9.281946332870767,72.62999669480763,Finnland
2014,12269,5471753,2918000,2.2422430252242744,52.83560707777236,4308971,2.8473155191807975,67.79120777638761,Finnland
2015,16440,5487308,2934440,2.996004598247447,49.74284506986025,4332865,3.794256225384359,63.71925832753366,Finnland
